goal,pledged,state,country,currency,deadline,launched_at,staff_pick,backers_count,spotlight,percent_funded,Average_Donation,Category_and_Sub_Category,Category,Sub_Category,Data_Created_Conversion,Data_Ended_Conversion
600,800,successful,US,USD,1452299761,1447115761,FALSE,14,TRUE,133.3333333,57.14285714,film & video/television,film & video,television,42317.81668,42377.81668
1250,1940,successful,US,USD,1408278144,1404822144,FALSE,19,TRUE,155.2,102.1052632,film & video/television,film & video,television,41828.30722,41868.30722
20000,22345,successful,NZ,NZD,1416113833,1413518233,FALSE,150,TRUE,111.725,148.9666667,film & video/television,film & video,television,41928.9564,41958.99807
12000,12042,successful,US,USD,1450307284,1447715284,FALSE,71,TRUE,100.35,169.6056338,film & video/television,film & video,television,42324.7556,42354.7556
3000,3700,successful,GB,GBP,1406045368,1403453368,FALSE,117,TRUE,123.3333333,31.62393162,film & video/television,film & video,television,41812.46491,41842.46491
4000,4051.99,successful,US,USD,1408604515,1406012515,FALSE,53,TRUE,101.29975,76.45264151,film & video/television,film & video,television,41842.08466,41872.08466
13,13,successful,US,USD,1453748434,1452193234,FALSE,1,TRUE,100,13,film & video/television,film & video,television,42376.58373,42394.58373
28450,28520,successful,US,USD,1463111940,1459523017,FALSE,89,TRUE,100.2460457,320.4494382,film & video/television,film & video,television,42461.41918,42502.95764
5250,5360,successful,US,USD,1447001501,1444405901,FALSE,64,TRUE,102.0952381,83.75,film & video/television,film & video,television,42286.45256,42316.49422
2600,3392,successful,US,USD,1407224601,1405928601,FALSE,68,TRUE,130.4615385,49.88235294,film & video/television,film & video,television,41841.11344,41856.11344
1000,1665,successful,US,USD,1430179200,1428130814,FALSE,28,TRUE,166.5,59.46428571,film & video/television,film & video,television,42098.0835,42121.79167
6000,8529,successful,US,USD,1428128525,1425540125,FALSE,44,TRUE,142.15,193.8409091,film & video/television,film & video,television,42068.09867,42098.057
22000,40357,successful,US,USD,1425055079,1422463079,FALSE,253,TRUE,183.4409091,159.513834,film & video/television,film & video,television,42032.48471,42062.48471
2500,2751,successful,US,USD,1368235344,1365643344,FALSE,66,TRUE,110.04,41.68181818,film & video/television,film & video,television,41374.84889,41404.84889
25000,32745,successful,GB,GBP,1401058740,1398388068,FALSE,217,TRUE,130.98,150.8986175,film & video/television,film & video,television,41753.83875,41784.74931
2000,2027,successful,US,USD,1403150400,1401426488,FALSE,16,TRUE,101.35,126.6875,film & video/television,film & video,television,41789.00565,41808.95833
2000,2000,successful,US,USD,1412516354,1409924354,FALSE,19,TRUE,100,105.2631579,film & video/television,film & video,television,41887.36058,41917.36058
14000,19860,successful,US,USD,1419780026,1417188026,FALSE,169,TRUE,141.8571429,117.5147929,film & video/television,film & video,television,41971.43086,42001.43086
10000,30866,successful,US,USD,1405209600,1402599486,FALSE,263,TRUE,308.66,117.3612167,film & video/television,film & video,television,41802.58201,41832.79167
2000,2000,successful,US,USD,1412648537,1408760537,FALSE,15,TRUE,100,133.3333333,film & video/television,film & video,television,41873.89047,41918.89047
5000,6000,successful,US,USD,1461769107,1459177107,FALSE,61,TRUE,120,98.36065574,film & video/television,film & video,television,42457.41559,42487.41559
8400,8750,successful,AU,AUD,1450220974,1447628974,FALSE,45,TRUE,104.1666667,194.4444444,film & video/television,film & video,television,42323.75664,42353.75664
5000,5380.55,successful,US,USD,1419021607,1413834007,FALSE,70,TRUE,107.611,76.865,film & video/television,film & video,television,41932.61119,41992.65286
2000,2159,successful,GB,GBP,1425211200,1422534260,FALSE,38,TRUE,107.95,56.81578947,film & video/television,film & video,television,42033.30856,42064.29167
12000,12000,successful,US,USD,1445660045,1443068045,FALSE,87,TRUE,100,137.9310345,film & video/television,film & video,television,42270.96811,42300.96811
600,600,successful,GB,GBP,1422637200,1419271458,FALSE,22,TRUE,100,27.27272727,film & video/television,film & video,television,41995.54465,42034.5
11000,14082,successful,US,USD,1439245037,1436653037,FALSE,119,TRUE,128.0181818,118.3361345,film & video/television,film & video,television,42196.72034,42226.72034
10000,11621,successful,US,USD,1405615846,1403023846,FALSE,52,TRUE,116.21,223.4807692,film & video/television,film & video,television,41807.49359,41837.49359
3000,3289,successful,US,USD,1396648800,1395407445,FALSE,117,TRUE,109.6333333,28.11111111,film & video/television,film & video,television,41719.3408,41733.70833
10000,10100,successful,US,USD,1451063221,1448471221,FALSE,52,TRUE,101,194.2307692,film & video/television,film & video,television,42333.50487,42363.50487
8600,11090,successful,US,USD,1464390916,1462576516,FALSE,86,TRUE,128.9534884,128.9534884,film & video/television,film & video,television,42496.7606,42517.7606
8000,8581,successful,GB,GBP,1433779200,1432559424,FALSE,174,TRUE,107.2625,49.31609195,film & video/television,film & video,television,42149.34056,42163.45833
15000,15285,successful,US,USD,1429991962,1427399962,FALSE,69,TRUE,101.9,221.5217391,film & video/television,film & video,television,42089.62456,42119.62456
10000,10291,successful,US,USD,1416423172,1413827572,FALSE,75,TRUE,102.91,137.2133333,film & video/television,film & video,television,41932.53671,41962.57838
20000,20025.14,successful,US,USD,1442264400,1439530776,FALSE,33,TRUE,100.1257,606.8224242,film & video/television,film & video,television,42230.0275,42261.66667
4500,4648.33,successful,GB,GBP,1395532800,1393882717,FALSE,108,TRUE,103.2962222,43.04009259,film & video/shorts,film & video,shorts,41701.69348,41720.79167
5000,7415,successful,US,USD,1370547157,1368646357,FALSE,23,TRUE,148.3,322.3913043,film & video/shorts,film & video,shorts,41409.60598,41431.60598
3000,4642,successful,US,USD,1362337878,1360177878,FALSE,48,TRUE,154.7333333,96.70833333,film & video/shorts,film & video,shorts,41311.59118,41336.59118
2000,2270.37,successful,US,USD,1388206740,1386194013,FALSE,64,TRUE,113.5185,35.47453125,film & video/shorts,film & video,shorts,41612.70385,41635.99931
1200,2080,successful,US,USD,1373243181,1370651181,FALSE,24,TRUE,173.3333333,86.66666667,film & video/shorts,film & video,shorts,41432.80997,41462.80997
7000,7527,successful,CA,CAD,1407736740,1405453354,FALSE,57,TRUE,107.5285714,132.0526316,film & video/shorts,film & video,shorts,41835.61289,41862.04097
2000,2372,successful,US,USD,1468873420,1466281420,FALSE,26,TRUE,118.6,91.23076923,film & video/shorts,film & video,shorts,42539.64144,42569.64144
2000,2325,successful,US,USD,1342360804,1339768804,FALSE,20,TRUE,116.25,116.25,film & video/shorts,film & video,shorts,41075.37505,41105.37505
600,763,successful,GB,GBP,1393162791,1390570791,FALSE,36,TRUE,127.1666667,21.19444444,film & video/shorts,film & video,shorts,41663.36101,41693.36101
10000,11094.23,successful,US,USD,1317538740,1314765025,FALSE,178,TRUE,110.9423,62.32713483,film & video/shorts,film & video,shorts,40785.97946,40818.08264
500,636,successful,US,USD,1315171845,1309987845,FALSE,17,TRUE,127.2,37.41176471,film & video/shorts,film & video,shorts,40730.68802,40790.68802
1800,2231,successful,US,USD,1338186657,1333002657,FALSE,32,TRUE,123.9444444,69.71875,film & video/shorts,film & video,shorts,40997.06316,41057.06316
2200,2385,successful,US,USD,1352937600,1351210481,FALSE,41,TRUE,108.4090909,58.17073171,film & video/shorts,film & video,shorts,41207.80186,41227.79167
900,900,successful,US,USD,1304395140,1297620584,FALSE,18,TRUE,100,50,film & video/shorts,film & video,shorts,40587.54843,40665.95764
500,564.66,successful,FR,EUR,1453376495,1450784495,FALSE,29,TRUE,112.932,19.47103448,film & video/shorts,film & video,shorts,42360.27888,42390.27888
3500,4040,successful,US,USD,1366693272,1364101272,FALSE,47,TRUE,115.4285714,85.95744681,film & video/shorts,film & video,shorts,41357.00083,41387.00083
300,460,successful,US,USD,1325007358,1319819758,FALSE,15,TRUE,153.3333333,30.66666667,film & video/shorts,film & video,shorts,40844.48331,40904.52498
400,1570,successful,US,USD,1337569140,1332991717,FALSE,26,TRUE,392.5,60.38461538,film & video/shorts,film & video,shorts,40996.93654,41049.91597
50,1351,successful,FR,EUR,1472751121,1471887121,FALSE,35,TRUE,2702,38.6,film & video/shorts,film & video,shorts,42604.52223,42614.52223
1300,1651,successful,GB,GBP,1398451093,1395859093,FALSE,41,TRUE,127,40.26829268,film & video/shorts,film & video,shorts,41724.56821,41754.56821
12000,12870,successful,US,USD,1386640856,1383616856,FALSE,47,TRUE,107.25,273.8297872,film & video/shorts,film & video,shorts,41582.87565,41617.87565
750,1485,successful,US,USD,1342234920,1341892127,FALSE,28,TRUE,198,53.03571429,film & video/shorts,film & video,shorts,41099.95054,41103.91806
4000,4000.5,successful,US,USD,1318189261,1315597261,FALSE,100,TRUE,100.0125,40.005,film & video/shorts,film & video,shorts,40795.61182,40825.61182
200,205,successful,GB,GBP,1424604600,1423320389,FALSE,13,TRUE,102.5,15.76923077,film & video/shorts,film & video,shorts,42042.40728,42057.27083
500,500,successful,US,USD,1305483086,1302891086,FALSE,7,TRUE,100,71.42857143,film & video/shorts,film & video,shorts,40648.54961,40678.54961
1200,1506,successful,US,USD,1316746837,1314154837,FALSE,21,TRUE,125.5,71.71428571,film & video/shorts,film & video,shorts,40778.91709,40808.91709
6000,6388,successful,FR,EUR,1451226045,1444828845,FALSE,17,TRUE,106.4666667,375.7647059,film & video/shorts,film & video,shorts,42291.34774,42365.38941
2500,2615,successful,US,USD,1275529260,1274705803,FALSE,25,TRUE,104.6,104.6,film & video/shorts,film & video,shorts,40322.33105,40331.86181
3500,3600,successful,US,USD,1403452131,1401205731,FALSE,60,TRUE,102.8571429,60,film & video/shorts,film & video,shorts,41786.45059,41812.45059
6000,6904,successful,US,USD,1370196192,1368036192,FALSE,56,TRUE,115.0666667,123.2857143,film & video/shorts,film & video,shorts,41402.54389,41427.54389
500,502,successful,US,USD,1310454499,1307862499,FALSE,16,TRUE,100.4,31.375,film & video/shorts,film & video,shorts,40706.08911,40736.08911
3000,3600,successful,US,USD,1305625164,1300354764,FALSE,46,TRUE,120,78.26086957,film & video/shorts,film & video,shorts,40619.19403,40680.19403
5000,5260,successful,CA,CAD,1485936000,1481949983,FALSE,43,TRUE,105.2,122.3255814,film & video/shorts,film & video,shorts,42720.99054,42767.125
1000,1106,successful,US,USD,1341349200,1338928537,FALSE,15,TRUE,110.6,73.73333333,film & video/shorts,film & video,shorts,41065.64973,41093.66667
250,260,successful,GB,GBP,1396890822,1395162822,FALSE,12,TRUE,104,21.66666667,film & video/shorts,film & video,shorts,41716.50951,41736.50951
350,460,successful,US,USD,1330214841,1327622841,FALSE,21,TRUE,131.4285714,21.9047619,film & video/shorts,film & video,shorts,40934.79677,40964.79677
1500,1720,successful,US,USD,1280631600,1274889241,FALSE,34,TRUE,114.6666667,50.58823529,film & video/shorts,film & video,shorts,40324.45418,40390.91667
400,425,successful,US,USD,1310440482,1307848482,FALSE,8,TRUE,106.25,53.125,film & video/shorts,film & video,shorts,40705.92688,40735.92688
3200,3400,successful,US,USD,1354923000,1351796674,FALSE,60,TRUE,106.25,56.66666667,film & video/shorts,film & video,shorts,41214.5865,41250.77083
1500,1590.29,successful,US,USD,1390426799,1387834799,FALSE,39,TRUE,106.0193333,40.77666667,film & video/shorts,film & video,shorts,41631.69443,41661.69443
5000,5000,successful,US,USD,1352055886,1350324286,FALSE,26,TRUE,100,192.3076923,film & video/shorts,film & video,shorts,41197.54498,41217.58664
3500,3500,successful,US,USD,1359052710,1356979110,FALSE,35,TRUE,100,100,film & video/shorts,film & video,shorts,41274.5684,41298.5684
6000,7665,successful,US,USD,1293073733,1290481733,FALSE,65,TRUE,127.75,117.9230769,film & video/shorts,film & video,shorts,40504.92284,40534.92284
1300,1367,successful,GB,GBP,1394220030,1392232830,FALSE,49,TRUE,105.1538462,27.89795918,film & video/shorts,film & video,shorts,41682.59757,41705.59757
500,600,successful,US,USD,1301792400,1299775266,FALSE,10,TRUE,120,60,film & video/shorts,film & video,shorts,40612.48688,40635.83333
2200,2363,successful,US,USD,1463184000,1461605020,FALSE,60,TRUE,107.4090909,39.38333333,film & video/shorts,film & video,shorts,42485.51644,42503.79167
5000,5025,successful,US,USD,1333391901,1332182301,FALSE,27,TRUE,100.5,186.1111111,film & video/shorts,film & video,shorts,40987.5683,41001.5683
7500,7685,successful,US,USD,1303688087,1301787287,FALSE,69,TRUE,102.4666667,111.3768116,film & video/shorts,film & video,shorts,40635.77416,40657.77416
1500,3700,successful,US,USD,1370011370,1364827370,FALSE,47,TRUE,246.6666667,78.72340426,film & video/shorts,film & video,shorts,41365.40475,41425.40475
1000,2195,successful,US,USD,1298680630,1296088630,FALSE,47,TRUE,219.5,46.70212766,film & video/shorts,film & video,shorts,40569.81748,40599.81748
1300,1700,successful,US,USD,1384408740,1381445253,FALSE,26,TRUE,130.7692308,65.38461538,film & video/shorts,film & video,shorts,41557.74135,41592.04097
3500,5410,successful,AU,AUD,1433059187,1430467187,FALSE,53,TRUE,154.5714286,102.0754717,film & video/shorts,film & video,shorts,42125.12485,42155.12485
5000,5200,successful,US,USD,1397354400,1395277318,FALSE,81,TRUE,104,64.19753086,film & video/shorts,film & video,shorts,41717.8347,41741.875
5000,7050,successful,US,USD,1312642800,1311963128,FALSE,78,TRUE,141,90.38461538,film & video/shorts,film & video,shorts,40753.55009,40761.41667
3000,3100,successful,US,USD,1326436488,1321252488,FALSE,35,TRUE,103.3333333,88.57142857,film & video/shorts,film & video,shorts,40861.06583,40921.06583
450,632,successful,US,USD,1328377444,1326217444,FALSE,22,TRUE,140.4444444,28.72727273,film & video/shorts,film & video,shorts,40918.5306,40943.5306
3500,3978,successful,US,USD,1302260155,1298289355,FALSE,57,TRUE,113.6571429,69.78947368,film & video/shorts,film & video,shorts,40595.28883,40641.24716
4500,4522.22,successful,US,USD,1276110000,1268337744,FALSE,27,TRUE,100.4937778,167.4896296,film & video/shorts,film & video,shorts,40248.62667,40338.58333
5000,5651.58,successful,US,USD,1311902236,1309310236,FALSE,39,TRUE,113.0316,144.9123077,film & video/shorts,film & video,shorts,40722.84532,40752.84532
3250,3398.1,successful,US,USD,1313276400,1310693986,FALSE,37,TRUE,104.5569231,91.84054054,film & video/shorts,film & video,shorts,40738.86095,40768.75
70000,10,canceled,HK,HKD,1475457107,1472865107,FALSE,1,FALSE,0.014285714,10,film & video/science fiction,film & video,science fiction,42615.84152,42645.84152
3000,1,canceled,US,USD,1429352160,1427993710,FALSE,1,FALSE,0.033333333,1,film & video/science fiction,film & video,science fiction,42096.49664,42112.21944
100000000,0,canceled,US,USD,1476094907,1470910907,FALSE,0,FALSE,0,0,film & video/science fiction,film & video,science fiction,42593.22346,42653.22346
55000,151,canceled,US,USD,1414533600,1411411564,FALSE,6,FALSE,0.274545455,25.16666667,film & video/science fiction,film & video,science fiction,41904.57366,41940.70833
4000,0,canceled,US,USD,1431728242,1429568242,FALSE,0,FALSE,0,0,film & video/science fiction,film & video,science fiction,42114.72039,42139.72039
500,70,canceled,CA,CAD,1486165880,1480981880,FALSE,6,FALSE,14,11.66666667,film & video/science fiction,film & video,science fiction,42709.78565,42769.78565
25000,1387,canceled,US,USD,1433988000,1431353337,FALSE,13,FALSE,5.548,106.6923077,film & video/science fiction,film & video,science fiction,42135.38122,42165.875
8000,190,canceled,US,USD,1428069541,1425481141,FALSE,4,FALSE,2.375,47.5,film & video/science fiction,film & video,science fiction,42067.41598,42097.37432
100000,1867,canceled,US,USD,1476941293,1473917293,FALSE,6,FALSE,1.867,311.1666667,film & video/science fiction,film & video,science fiction,42628.01959,42663.01959
20000,0,canceled,US,USD,1414708183,1409524183,FALSE,0,FALSE,0,0,film & video/science fiction,film & video,science fiction,41882.72897,41942.72897
600,0,canceled,GB,GBP,1402949760,1400536692,FALSE,0,FALSE,0,0,film & video/science fiction,film & video,science fiction,41778.70708,41806.63611
1200,0,canceled,US,USD,1467763200,1466453161,FALSE,0,FALSE,0,0,film & video/science fiction,film & video,science fiction,42541.62918,42556.79167
80000,7655,canceled,US,USD,1415392207,1411500607,FALSE,81,FALSE,9.56875,94.50617284,film & video/science fiction,film & video,science fiction,41905.60425,41950.64591
71764,0,canceled,US,USD,1464715860,1462130584,FALSE,0,FALSE,0,0,film & video/science fiction,film & video,science fiction,42491.59935,42521.52153
5000,0,canceled,US,USD,1441386000,1438811418,FALSE,0,FALSE,0,0,film & video/science fiction,film & video,science fiction,42221.7016,42251.5
3000,403,canceled,US,USD,1404241200,1401354597,FALSE,5,FALSE,13.43333333,80.6,film & video/science fiction,film & video,science fiction,41788.17358,41821.58333
3000,0,canceled,US,USD,1431771360,1427968234,FALSE,0,FALSE,0,0,film & video/science fiction,film & video,science fiction,42096.20178,42140.21944
55000,0,canceled,DK,DKK,1444657593,1440337593,FALSE,0,FALSE,0,0,film & video/science fiction,film & video,science fiction,42239.36566,42289.36566
150000,4712,canceled,US,USD,1438405140,1435731041,FALSE,58,FALSE,3.141333333,81.24137931,film & video/science fiction,film & video,science fiction,42186.04909,42216.99931
500,500,canceled,US,USD,1436738772,1435874772,FALSE,1,FALSE,100,500,film & video/science fiction,film & video,science fiction,42187.71264,42197.71264
200000,0,canceled,US,USD,1426823132,1424234732,FALSE,0,FALSE,0,0,film & video/science fiction,film & video,science fiction,42052.98995,42082.94829
12000,1293,canceled,US,USD,1433043623,1429155623,FALSE,28,FALSE,10.775,46.17857143,film & video/science fiction,film & video,science fiction,42109.94471,42154.94471
3000,10,canceled,US,USD,1416176778,1414358778,FALSE,1,FALSE,0.333333333,10,film & video/science fiction,film & video,science fiction,41938.68493,41959.7266
5500,0,canceled,AU,AUD,1472882100,1467941542,FALSE,0,FALSE,0,0,film & video/science fiction,film & video,science fiction,42558.85581,42616.03819
7500,2070,canceled,CA,CAD,1428945472,1423765072,FALSE,37,FALSE,27.6,55.94594595,film & video/science fiction,film & video,science fiction,42047.55407,42107.51241
4500,338,canceled,US,USD,1439298052,1436965252,FALSE,9,FALSE,7.511111111,37.55555556,film & video/science fiction,film & video,science fiction,42200.33394,42227.33394
20000,115,canceled,US,USD,1484698998,1479514998,FALSE,3,FALSE,0.575,38.33333333,film & video/science fiction,film & video,science fiction,42692.80785,42752.80785
7000,0,canceled,GB,GBP,1420741080,1417026340,FALSE,0,FALSE,0,0,film & video/science fiction,film & video,science fiction,41969.55949,42012.55417
50000,40,canceled,US,USD,1456555536,1453963536,FALSE,2,FALSE,0.08,20,film & video/science fiction,film & video,science fiction,42397.07333,42427.07333
10000,92,canceled,US,USD,1419494400,1416888470,FALSE,6,FALSE,0.92,15.33333333,film & video/science fiction,film & video,science fiction,41967.96377,41998.125
130000,30112,canceled,US,USD,1432612382,1427428382,FALSE,67,FALSE,23.16307692,449.4328358,film & video/science fiction,film & video,science fiction,42089.9535,42149.9535
250000,140,canceled,AU,AUD,1434633191,1429449191,FALSE,5,FALSE,0.056,28,film & video/science fiction,film & video,science fiction,42113.34249,42173.34249
380000,30,canceled,US,USD,1411437100,1408845100,FALSE,2,FALSE,0.007894737,15,film & video/science fiction,film & video,science fiction,41874.86921,41904.86921
50000,359,canceled,US,USD,1417532644,1413900244,FALSE,10,FALSE,0.718,35.9,film & video/science fiction,film & video,science fiction,41933.37782,41975.41949
1500,40,canceled,US,USD,1433336895,1429621695,FALSE,3,FALSE,2.666666667,13.33333333,film & video/science fiction,film & video,science fiction,42115.33906,42158.33906
1350000,81,canceled,US,USD,1437657935,1434201935,FALSE,4,FALSE,0.006,20.25,film & video/science fiction,film & video,science fiction,42168.3511,42208.3511
35000,1785,canceled,CA,CAD,1407034796,1401850796,FALSE,15,FALSE,5.1,119,film & video/science fiction,film & video,science fiction,41793.91662,41853.91662
2995,8,canceled,US,USD,1456523572,1453931572,FALSE,2,FALSE,0.267111853,4,film & video/science fiction,film & video,science fiction,42396.70338,42426.70338
5000,0,canceled,US,USD,1413942628,1411350628,FALSE,0,FALSE,0,0,film & video/science fiction,film & video,science fiction,41903.86838,41933.86838
500000,10,canceled,US,USD,1467541545,1464085545,FALSE,1,FALSE,0.002,10,film & video/science fiction,film & video,science fiction,42514.22622,42554.22622
5000,0,failed,US,USD,1439675691,1434491691,FALSE,0,FALSE,0,0,film & video/drama,film & video,drama,42171.70476,42231.70476
50000,5,failed,US,USD,1404318595,1401726595,FALSE,1,FALSE,0.01,5,film & video/drama,film & video,drama,41792.47911,41822.47911
2800,435,failed,US,USD,1408232520,1405393356,FALSE,10,FALSE,15.53571429,43.5,film & video/drama,film & video,drama,41834.91847,41867.77917
2000000,0,failed,US,USD,1443657600,1440716654,FALSE,0,FALSE,0,0,film & video/drama,film & video,drama,42243.75294,42277.79167
120000,640,failed,US,USD,1411150701,1405966701,FALSE,7,FALSE,0.533333333,91.42857143,film & video/drama,film & video,drama,41841.55441,41901.55441
17000,0,failed,GB,GBP,1452613724,1450021724,FALSE,0,FALSE,0,0,film & video/drama,film & video,drama,42351.45051,42381.45051
5000,3000,failed,US,USD,1484531362,1481939362,FALSE,1,FALSE,60,3000,film & video/drama,film & video,drama,42720.86762,42750.86762
110000,11,failed,US,USD,1438726535,1433542535,FALSE,2,FALSE,0.01,5.5,film & video/drama,film & video,drama,42160.71916,42220.71916
8000,325,failed,US,USD,1426791770,1424203370,FALSE,3,FALSE,4.0625,108.3333333,film & video/drama,film & video,drama,42052.62697,42082.5853
2500,560,failed,GB,GBP,1413634059,1411042059,FALSE,10,FALSE,22.4,56,film & video/drama,film & video,drama,41900.29698,41930.29698
10000,325,failed,US,USD,1440912480,1438385283,FALSE,10,FALSE,3.25,32.5,film & video/drama,film & video,drama,42216.76948,42246.01944
50000,1,failed,US,USD,1470975614,1465791614,FALSE,1,FALSE,0.002,1,film & video/drama,film & video,drama,42533.97238,42593.97238
95000,0,failed,US,USD,1426753723,1423733323,FALSE,0,FALSE,0,0,film & video/drama,film & video,drama,42047.18661,42082.14494
1110,0,failed,GB,GBP,1425131108,1422539108,FALSE,0,FALSE,0,0,film & video/drama,film & video,drama,42033.36468,42063.36468
6000,0,failed,NL,EUR,1431108776,1425924776,FALSE,0,FALSE,0,0,film & video/drama,film & video,drama,42072.55065,42132.55065
20000,1297,failed,GB,GBP,1409337611,1407177611,FALSE,26,FALSE,6.485,49.88461538,film & video/drama,film & video,drama,41855.56957,41880.56957
1500,0,failed,US,USD,1438803999,1436211999,FALSE,0,FALSE,0,0,film & video/drama,film & video,drama,42191.61573,42221.61573
450,180,failed,US,USD,1427155726,1425690526,FALSE,7,FALSE,40,25.71428571,film & video/drama,film & video,drama,42069.83942,42086.79775
500000,0,failed,ES,EUR,1448582145,1445986545,FALSE,0,FALSE,0,0,film & video/drama,film & video,drama,42304.74705,42334.78872
1000,200,failed,US,USD,1457056555,1454464555,FALSE,2,FALSE,20,100,film & video/drama,film & video,drama,42402.87216,42432.87216
1200,401,failed,GB,GBP,1428951600,1425512843,FALSE,13,FALSE,33.41666667,30.84615385,film & video/drama,film & video,drama,42067.78291,42107.58333
3423,722,failed,GB,GBP,1434995295,1432403295,FALSE,4,FALSE,21.09260882,180.5,film & video/drama,film & video,drama,42147.53351,42177.53351
1000,0,failed,US,USD,1483748232,1481156232,FALSE,0,FALSE,0,0,film & video/drama,film & video,drama,42711.80361,42741.80361
12500,4482,failed,GB,GBP,1417033610,1414438010,FALSE,12,FALSE,35.856,373.5,film & video/drama,film & video,drama,41939.60197,41969.64363
1500,51,failed,CA,CAD,1409543940,1404586762,FALSE,2,FALSE,3.4,25.5,film & video/drama,film & video,drama,41825.58289,41882.95764
40000,2200,failed,NO,NOK,1471557139,1468965139,FALSE,10,FALSE,5.5,220,film & video/drama,film & video,drama,42570.703,42600.703
5000,0,failed,US,USD,1488571200,1485977434,FALSE,0,FALSE,0,0,film & video/drama,film & video,drama,42767.60456,42797.625
5000,800,failed,US,USD,1437461940,1435383457,FALSE,5,FALSE,16,160,film & video/drama,film & video,drama,42182.02612,42206.08264
1500,0,failed,US,USD,1409891015,1407299015,FALSE,0,FALSE,0,0,film & video/drama,film & video,drama,41856.97471,41886.97471
500000,345,failed,US,USD,1472920477,1467736477,FALSE,5,FALSE,0.069,69,film & video/drama,film & video,drama,42556.48237,42616.48237
12000,50,failed,US,USD,1466091446,1465227446,FALSE,1,FALSE,0.416666667,50,film & video/drama,film & video,drama,42527.44266,42537.44266
